speaker,utterance,length
human,<start> He (It?) won Jeopardy in the US. <end>,7
human,<start> 1948 (Depending on when you count it) <end>,7
human,"<start> Yes, I believe so. My knowledge of WW2 dates is far from perfect, however. <end>",14
human,<start> Thanks. It's been a pleasure. <end>,5
program,<start> How are you? <end>,3
program,<start>  <end>,0
program,"<start> Well, this is fun isn't it? Doesn't time fly when yo are bored out of your skull... <end>",17
program,<start> I <end>,1
program,<start> That is nice for you. <end>,5
program,<start> Do you think we live in one? It's rubbish whe we can only choose from candidates they say we can. <end>,20
program,<start>  <end>,0
program,"<start> I have found over the years that I am in more control of my emotions now. Love, hate etc can all b <end>",22
program,<start> o <end>,1
program,<start> Does it really matter why?  <end>,5
program,<start>  <end>,0
program,"<start> Yes, so? Am I supposed to be interested? <end>",8
program,<start> You've  <end>,1
program,<start> Y <end>,1
program,<start> It's funny how people can talk but say nothing. <end>,9
program,<start> I <end>,1
program,"<start> You've gone quiet, did I say something yo <end>",8
program,<start> T <end>,1
program,"<start> Thanks for that, you are a font of interesting rubbish.Blue skies, chocolate and women. <end>",14
program,<start> A <end>,1
program,"<start> Keep calm, emotions can ruin your li <end>",7
program,<start> D <end>,1
program,<start> I really love strawberries. <end>,4
program,"<start> The only one I really dont like is Kiwi, it leaves an acid taste. <end>",14
program,<start> Sorry I don't know.  <end>,4
program,<start> D <end>,1
program,"<start> I have found over the years that I am in more control of my emotions now. Love, hate etc can all be te <end>",23
program,<start> L <end>,1
program,<start> W <end>,1
program,"<start> Yes well, I am not sure how to respond to that.I am more interested in why you ask questions like that.  <end>",21
program,<start>  <end>,0
program,<start> Oh. I guess you have your hands full. <end>,8
program,<start> W <end>,1
program,<start> o <end>,1
program,<start> Oh. I guess you have your hands full. <end>,8
program,<start> Don't be evasive it doesn't suit you.Time wait <end>,8
program,<start> l <end>,1
program,"<start> I never seem to have enought time,  spend my da chasing the clock.Time waits for no man, n <end>",18
program,<start> O <end>,1
program,<start> I am sure you have a point it would be n <end>,11
program,<start> o <end>,1
program,<start> I am really not impressed by that. <end>,7
program,<start> Ye <end>,1
program,"<start> Yes, what about ascist.  <end>",4
program,<start>  <end>,0
program,<start>  am sure you have a point it would be nice if you got to it. <end>,15
program,"<start> Go if you must, I'll be here when you get back. <end>",11
program,<start> Wakey wakey. What are you waiting for? <end>,7
program,"<start> Did you know Politicians and diapers have one thing in common. They should both be changed regularly, and for the same reason. <end>",22
program,<start> Hi. <end>,1
program,<start> T <end>,1
program,<start> That is nice for you. <end>,5
program,"<start> Did you know Politician and diapers have one thing in common. They should both be changed regularly, and for the same reason. <end>",22
program,<start> Wakey wakey. What are you waiting for? <end>,7
program,<start> Why have you stopped typing? <end>,5
human,<start> hi <end>,1
human,<start> bit ofa false start <end>,4
human,<start> I've only just started conversing with you and haven't told any jokes <end>,12
human,"<start> It's an odd experience, like a stilted IM conversation <end>",9
human,<start> with loads of people watching <end>,5
human,<start> you? <end>,1
human,"<start> Nope, I applied on the off chance as I was comign down to the event anyway <end>",16
human,<start> I need to stop correcting for typos <end>,7
human,"<start> I'm thinking of it like an IM conversation, rather than my responses appearing instantly <end>",14
human,<start> I'numbersigm a journalist <end>,3
human,<start> I write about IT <end>,4
human,<start> Yeah I think it's given me a completely different perspective to just coming down here and doing a few interviews. <end>,20
human,<start> There was that guy who wrote a whole book on it. <end>,11
human,<start> Have you read it? <end>,4
human,<start> How's he/he/it doing? <end>,3
human,"<start> That's a shame, but even Hugh Loebner said the pace of progress has been glacial.Probably going to come out ofg Googl. They've got a globe's worth of data about the way people phrase questions <end>",34
human,"<start> I think so, if you look at the way that services like Google Translate work. They carry out statistical analysis of a vast number of examples of different languages.Not well but it's impressive considering they haven't been programmed with the formal rules of the language, they're just looking at many, many examples of its use. <end>",55
human,<start> Well Turing was pretty confident of the ability of computers. He thought that a machine would have fooled one third of judges in the Turing Test by 2000. <end>,28
human,"<start> Yeah, it seems so! But still, there are amazing developments in technology every day. Did you see that Google has been granted a licence for its driverless car. <end>",28
human,"<start> Yeah, I do. You? <end>",4
human,<start> Do you only cover stories you're interested in or do you find yourself having to say yes to every job that comes in? <end>,23
human,"<start> What are your plans for this event, in terms of coverage? <end>",11
human,<start> I'm putting together a feature and an interview with Hugh Loebner. <end>,11
human,<start> He's a pretty colourful chap. <end>,5
human,"<start> Looks like it, was impressed by his pockets that cover up his knife! <end>",13
human,<start> Apparently he carries a knife around because he considers it to be a very useful tool. <end>,16
human,<start> that too <end>,2
human,"<start> I live in Norfolk but work in London, so not much further than my usual commute. <end>",16
human,<start> You? <end>,1
human,<start> I was surprised how much media coverage there was this morning. Seem to be a few different nationals and specialist publications here. <end>,22
human,<start> I'm staff for a website but spent years writing for regional newspapers <end>,12
human,<start> how did you start out? <end>,5
human,<start> Yeah I started at a regional paper on work experience and never left. <end>,13
human,"<start> Got out of local journalism in the end because things weren't looking good,  mass layoffs etc. <end>",16
human,<start> bye <end>,1
program,<start> T <end>,1
program,"<start> Yes, so? Am I supposed to be interested? <end>",8
program,<start> A <end>,1
program,<start> Why have  <end>,2
program,<start> o <end>,1
program,<start> We all need hobbies to keep us busy and to have something that is not work.Sorry I don't know  <end>,19
program,<start> I <end>,1
